ID;s;constellation;Q;mu;-K;g;comments
S1;3;[3,1,3];[[1,1,1,a,0,0,0],[0,0,0,1,1,1,1]];[1,3];[a+2,1];T[1]*T[5]^3+T[2]*T[6]^3+T[3]*T[7]^3;a >= 1
S2;3;[3,1,3];[[1,1,1,a,0,0,0],[0,0,0,1,1,1,1]];[2,3];[a+1,1];T[1]^2*T[5]^3+T[2]^2*T[6]^3+T[3]^2*T[7]^3;a >= 1
S3;3;[2,2,3];[[1,1,a,a,0,0,0],[0,0,1,1,1,1,1]];[a,4];[a+2,1];T[1]^(a-l)*T[2]^l*T[5]^4+T[3]*T[6]^3+T[4]*T[7]^3;a >= 1, 0 <= l <= a/2
S4;3;[2,2,3];[[1,1,a,a,0,0,0],[0,0,1,1,1,1,1]];[a,4];[a+2,1];T[1]^a*T[5]^4+T[2]^a*T[6]^4+T[4]*T[7]^3;a >= 1, a odd
S5;4;[3,1,2,1];[[1,1,1,a,2,3,0],[0,0,0,1,2,3,1]];[6,6];[2+a,1];T[1]^5*T[2]*T[7]^6+T[5]^3+T[6]^2;a >= 2
S6;4;[3,1,2,1];[[1,1,1,a,2,3,0],[0,0,0,1,2,3,1]];[6,6];[2+a,1];T[1]^4*T[2]*T[3]*T[7]^6+T[5]^3+T[6]^2;a >= 2
S7;4;[3,1,2,1];[[1,1,1,a,2,3,0],[0,0,0,1,2,3,1]];[6,6];[2+a,1];T[1]^3*T[2]^2*T[3]*T[7]^6+T[5]^3+T[6]^2;a >= 2
S8;4;[3,1,2,1];[[1,1,1,a,4,6,0],[0,0,0,1,2,3,1]];[12,6];[1+a,1];T[1]^11*T[2]*T[7]^6+T[5]^3+T[6]^2;a >= 3
S9;4;[3,1,2,1];[[1,1,1,a,4,6,0],[0,0,0,1,2,3,1]];[12,6];[1+a,1];T[1]^7*T[2]^5*T[7]^6+T[5]^3+T[6]^2;a >= 3
S10;4;[3,1,2,1];[[1,1,1,a,4,6,0],[0,0,0,1,2,3,1]];[12,6];[1+a,1];T[1]^10*T[2]*T[3]*T[7]^6+T[5]^3+T[6]^2;a >= 3
S11;4;[3,1,2,1];[[1,1,1,a,4,6,0],[0,0,0,1,2,3,1]];[12,6];[1+a,1];T[1]^9*T[2]^2*T[3]*T[7]^6+T[5]^3+T[6]^2;a >= 3
S12;4;[3,1,2,1];[[1,1,1,a,4,6,0],[0,0,0,1,2,3,1]];[12,6];[1+a,1];T[1]^8*T[2]^3*T[3]*T[7]^6+T[5]^3+T[6]^2;a >= 3
S13;4;[3,1,2,1];[[1,1,1,a,4,6,0],[0,0,0,1,2,3,1]];[12,6];[1+a,1];T[1]^7*T[2]^4*T[3]*T[7]^6+T[5]^3+T[6]^2;a >= 3
S14;4;[3,1,2,1];[[1,1,1,a,4,6,0],[0,0,0,1,2,3,1]];[12,6];[1+a,1];T[1]^6*T[2]^5*T[3]*T[7]^6+T[5]^3+T[6]^2;a >= 3
S15;4;[3,1,2,1];[[1,1,1,a,4,6,0],[0,0,0,1,2,3,1]];[12,6];[1+a,1];T[1]^7*T[2]^3*T[3]^2*T[7]^6+T[5]^3+T[6]^2;a >= 3
S16;4;[3,1,2,1];[[1,1,1,a,4,6,0],[0,0,0,1,2,3,1]];[12,6];[1+a,1];T[1]^5*T[2]^5*T[3]^2*T[7]^6+T[5]^3+T[6]^2;a >= 3
S17;4;[3,1,2,1];[[1,1,1,a,4,6,0],[0,0,0,1,2,3,1]];[12,6];[1+a,1];T[1]^5*T[2]^4*T[3]^3*T[7]^6+T[5]^3+T[6]^2;a >= 3
S18;4;[2,2,2,1];[[1,1,a,a,c,c,0],[0,0,1,1,1,1,1]];[a,4];[a+2*c+2,1];T[1]^(a-4*c)*T[5]^4+T[2]^(a-4*c)*T[6]^4+T[4]*T[7]^3;c >= 1, a > 4*c, a odd
S19;4;[2,2,2,1];[[1,1,a,a,1,1,0],[0,0,1,1,1,1,1]];[a+3,4];[1+a,1];T[3]*T[5]^3+T[4]*T[6]^3+T[1]^(a+3-l)*T[2]^l*T[7]^4;a >= 2, 0 <= l <= (a+3)/2
S20;4;[2,2,2,1];[[1,1,a,a,1,1,0],[0,0,1,1,1,1,1]];[a+3,4];[1+a,1];T[1]^(a-1)*T[5]^4+T[3]*T[6]^3+T[2]^(a+3)*T[7]^4;a >= 2, a even
S21;4;[2,2,2,1];[[1,1,a,a,1,1,0],[0,0,1,1,1,1,1]];[a+3,4];[1+a,1];T[1]^(a-1)*T[5]^4+T[3]*T[6]^3+T[2]^3*T[4]*T[7]^3;a >= 2
S22;4;[2,2,2,1];[[1,1,a,a,2,3,0],[0,0,1,1,2,3,1]];[6,6];[1+2*a,2];T[1]^5*T[2]*T[7]^6+T[5]^3+T[6]^2;a >= 2
S23;4;[2,2,1,2];[[1,1,a,a,c,0,0],[0,0,1,1,1,1,1]];[a,4];[a+c+2,1];T[1]^(a-4*c)*T[5]^4+T[2]^a*T[6]^4+T[4]*T[7]^3;c >= 1, a > 4*c
S24;4;[2,2,1,2];[[1,1,a,a,c,0,0],[0,0,1,1,1,1,1]];[a,4];[a+c+2,1];T[1]^(a-l)*T[2]^l*T[5]^4+T[3]*T[6]^3+T[4]*T[7]^3;c >= 1, a > 4*c, 0 <= l <= a/2
S25;4;[2,2,1,2];[[1,1,a,a,c,0,0],[0,0,1,1,1,1,1]];[4*c,4];[-3*c+2*a+2,1];T[1]^(a-4*c)*T[3]*T[6]^3+T[2]^(a-4*c)*T[4]*T[7]^3+T[5]^4;c >= 1, a > 4*c
S26;4;[2,2,1,2];[[1,1,4*a,4*a,a,0,0],[0,0,1,1,1,1,1]];[4*a,4];[5*a+2,1];T[1]^(4*a-l)*T[2]^l*T[6]^4+T[4]*T[7]^3+T[5]^4;a >= 1, 0 <= l < 2*c, l odd
S27;4;[2,2,1,2];[[1,1,a,a,c,0,0],[0,0,1,1,3,1,1]];[2*c,6];[-c+2*a+2,1];T[1]^(2*c-a)*T[3]*T[6]^5+T[2]^(2*c-a)*T[4]*T[7]^5+T[5]^2;a,c >= 1, c-1 <= a < 2*c
S28;4;[2,2,1,2];[[1,1,a,a,a,0,0],[0,0,1,1,3,1,1]];[2*a,6];[2+a,1];T[1]^(2*a-l)*T[2]^l*T[6]^6+T[3]*T[4]*T[7]^4+T[5]^2;a >= 1, 1 <= l <= a, l odd
S29;4;[2,2,1,2];[[1,1,2*a,2*a,a,0,0],[0,0,1,1,3,1,1]];[2*a,6];[3*a+2,1];T[5]^2+T[1]^(2*a-l)*T[2]^l*T[6]^6+T[4]*T[7]^5;a >= 1, 1 <= l <= a, l odd
S30;4;[2,1,3,1];[[1,1,a,1,1,1,0],[0,0,1,1,1,1,1]];[4,4];[1+a,1];T[1]^3*T[2]*T[7]^4+T[4]^3*T[5]+T[6]^4;a >= 2
S31;4;[2,1,3,1];[[1,1,a,1,1,3,0],[0,0,1,1,1,3,1]];[6,6];[1+a,1];T[1]^5*T[2]*T[7]^6+T[4]^5*T[5]+T[6]^2;a >= 2
S32;4;[2,1,3,1];[[1,1,a,1,1,3,0],[0,0,1,1,1,3,1]];[6,6];[1+a,1];T[1]^5*T[2]*T[7]^6+T[4]^3*T[5]^3+T[6]^2;a >= 2
S33;4;[2,1,3,1];[[1,1,a,1,1,3,0],[0,0,1,1,1,3,1]];[6,6];[1+a,1];T[1]^3*T[2]^3*T[7]^6+T[4]^5*T[5]+T[6]^2;a >= 2
S34;4;[2,1,1,3];[[1,1,a,c,0,0,0],[0,0,1,1,1,1,1]];[c,4];[2+a,1];T[1]^c*T[5]^4+T[2]^c*T[6]^4+T[4]*T[7]^3;c >= 1, a > c, c odd
S35;4;[2,1,1,3];[[1,1,1+a,a,0,0,0],[0,0,1,1,1,1,1]];[1+a,4];[2+a,1];T[1]^(1+a)*T[5]^4+T[2]*T[4]*T[6]^3+T[3]*T[7]^3;a >= 1
S36;4;[2,1,1,3];[[1,1,1+a,a,0,0,0],[0,0,1,1,1,1,1]];[1+a,4];[2+a,1];T[1]^(1+a)*T[5]^4+T[2]^(1+a)*T[6]^4+T[3]*T[7]^3;a >= 1, a even
S37;5;[2,2,1,1,1];[[1,1,a,a,b,c,0],[0,0,1,1,1,1,1]];[a+3*c,4];[a-2*c+b+2,1];T[1]^(a+3*c-4*b)*T[5]^4+T[3]*T[6]^3+T[2]^(3*c)*T[4]*T[7]^3;b > c >= 1, b >= 2*c-1, a > 4*b-3*c
S38;5;[2,2,1,1,1];[[1,1,a,a,b,c,0],[0,0,1,1,1,1,1]];[a+3*c,4];[a-2*c+b+2,1];T[1]^(a+3*c-4*b)*T[5]^4+T[3]*T[6]^3+T[2]^(a+3*c)*T[7]^4;b > c >= 1, b >= 2*c-1, a > 4*b-3*c, a odd or c odd
S39;5;[2,2,1,1,1];[[1,1,a,a,b,c,0],[0,0,1,1,1,1,1]];[a,4];[a+c+b+2,1];T[1]^(a-4*b)*T[5]^4+T[2]^(a-4*c)*T[6]^4+T[4]*T[7]^3;b > c >= 1, a > 4*b, a odd
S40;5;[2,2,1,1,1];[[1,1,4*a-3*b,4*a-3*b,a,b,0],[0,0,1,1,1,1,1]];[4*a,4];[5*a-5*b+2,1];T[5]^4+T[3]*T[6]^3+T[1]^(3*b-l)*T[2]^l*T[4]*T[7]^3;a > b >= 1, a >= 2*b-1, 0 <= l <= 3*b/2
S41;5;[2,2,1,1,1];[[1,1,4*a-3*b,4*a-3*b,a,b,0],[0,0,1,1,1,1,1]];[4*a,4];[5*a-5*b+2,1];T[5]^4+T[3]*T[6]^3+T[1]^(4*a-l)*T[2]^l*T[7]^4;a > b >= 1, a >= 2*b-1, 0 < l < 2*a, l odd
S42;5;[2,2,1,1,1];[[1,1,a,a,b,c,0],[0,0,1,1,1,1,1]];[4*a,4];[-2*a+c+b+2,1];T[5]^4+T[1]^(4*b-a-3*c)*T[3]*T[6]^3+T[2]^(4*b-a)*T[4]*T[7]^3;b > c >= 1, b > 2*c-1, 3*b-c-1 <= a < 4*b-3*c
S43;5;[2,2,1,1,1];[[1,1,2*a+2,2*a+2,a+1,a,0],[0,0,1,1,1,1,1]];[4*a+4,4];[2*a+3,1];T[1]^3*T[2]^2*T[6]^4+T[3]*T[4]*T[7]^2+T[5]^4;a >= 1
S44;5;[2,2,1,1,1];[[1,1,4*a,4*a,a,b,0],[0,0,1,1,1,1,1]];[4*a,4];[5*a+b+2,1];T[5]^4+T[1]^(4*a-4*b-l)*T[2]^l*T[6]^4+T[4]*T[7]^3;a > b >= 1, 0 < l < 2*a+2*b, l odd
S45;5;[2,2,1,1,1];[[1,1,a,a,a+2,1,0],[0,0,1,1,3,1,1]];[2*a+4,6];[a+1,1];T[5]^2+T[3]*T[4]*T[6]^4+T[1]^(2*a+4-l)*T[2]^l*T[7]^6;a >= 1, 0 < l <= a+2, l odd
S46;5;[2,2,1,1,1];[[1,1,2*a-5*b,2*a-5*b,a,b,0],[0,0,1,1,3,1,1]];[2*a,6];[3*a-9*b+2,1];T[5]^2+T[3]*T[6]^5+T[1]^(10*b-2*a-l)*T[2]^l*T[4]^2*T[7]^4;b >= 1, 4*b-1 <= a < 5*b
S47;5;[2,2,1,1,1];[[1,1,2*a-5*b,2*a-5*b,a,b,0],[0,0,1,1,3,1,1]];[2*a,6];[3*a-9*b+2,1];T[5]^2+T[3]*T[6]^5+T[1]^(5*b-l)*T[2]^l*T[4]*T[7]^5;b >= 1, a >= 4*b-1, 0 <= l <= 5*b/2
S48;5;[2,2,1,1,1];[[1,1,2*a-5*b,2*a-5*b,a,b,0],[0,0,1,1,3,1,1]];[2*a,6];[3*a-9*b+2,1];T[5]^2+T[3]*T[6]^5+T[1]^(2*a-l)*T[2]^l*T[7]^6;b >= 1, a >= 4*b-1, 0 < l <= a, l odd
S49;5;[2,2,1,1,1];[[1,1,a,a,b,c,0],[0,0,1,1,3,1,1]];[2*b,6];[-b+c+2*a+2,1];T[5]^2+T[1]^(2*b-5*c-a)*T[3]*T[6]^5+T[2]^(2*b-a)*T[4]*T[7]^5;c >= 1, b >= 4*c, b/3 < a < 2*b-5*c
S50;5;[2,2,1,1,1];[[1,1,2*a+2,2*a+2,3*a+3,a,0],[0,0,1,1,3,1,1]];[6*a+6,6];[2*a+3,1];T[1]^5*T[2]*T[6]^6+T[3]^2*T[4]*T[7]^3+T[5]^2;a >= 1
S51;5;[2,2,1,1,1];[[1,1,2*a+2,2*a+2,3*a+3,a,0],[0,0,1,1,3,1,1]];[6*a+6,6];[2*a+3,1];T[1]^5*T[2]*T[6]^6+T[3]^3*T[7]^3+T[5]^2;a >= 1
S52;5;[2,2,1,1,1];[[1,1,2*a+2,2*a+2,3*a+3,a,0],[0,0,1,1,3,1,1]];[6*a+6,6];[2*a+3,1];T[1]^3*T[2]^3*T[6]^6+T[3]^2*T[4]*T[7]^3+T[5]^2;a >= 1
S53;5;[2,2,1,1,1];[[1,1,a,a,a,b,0],[0,0,1,1,3,1,1]];[2*a,6];[a+b+2,1];T[5]^2+T[1]^(2*a-6*b-l)*T[2]^l*T[6]^6+T[3]*T[4]*T[7]^4;b >= 1, a > 3*b, 0 < l <= a-3*b, l odd
S54;5;[2,2,1,1,1];[[1,1,2*a,2*a,a,b,0],[0,0,1,1,3,1,1]];[2*a,6];[b+3*a+2,1];T[5]^2+T[1]^(2*a-l)*T[2]^l*T[6]^6+T[4]*T[7]^5;b >= 1, a > 3*b, 0 < l <= a, l odd
S55;5;[2,1,1,2,1];[[1,1,a+1,a,1,1,0],[0,0,1,1,1,1,1]];[a+3,4];[a+2,1];T[1]^(a-1)*T[5]^4+T[4]*T[6]^3+T[2]^2*T[3]*T[7]^3;a >= 2
S56;5;[2,1,1,2,1];[[1,1,a+2,a,1,1,0],[0,0,1,1,1,1,1]];[a+3,4];[a+3,1];T[1]^(a-1)*T[5]^4+T[4]*T[6]^3+T[2]*T[3]*T[7]^3;a >= 2
S57;5;[2,1,1,2,1];[[1,1,a+3,a,1,1,0],[0,0,1,1,1,1,1]];[a+3,4];[a+4,1];T[1]^(a-1-l)*T[2]^l*T[5]^4+T[4]*T[6]^3+T[3]*T[7]^3;a >= 2, 0 <= l <= (a-1)/2
S58;5;[2,1,1,2,1];[[1,1,a,b,1,1,0],[0,0,1,1,1,1,1]];[b+3,4];[a+1,1];T[1]^(b-1)*T[5]^4+T[4]*T[6]^3+T[2]^(b+3)*T[7]^4;a > b >= 2, b even
S59;5;[2,1,1,2,1];[[1,1,2*a+1,2*a,a,a,0],[0,0,1,1,1,1,1]];[4*a+1,4];[2*a+2,1];T[1]*T[5]^4+T[2]*T[6]^4+T[3]*T[4]*T[7]^2;a >= 1
S60;5;[2,1,1,2,1];[[1,1,a,b,c,c,0],[0,0,1,1,1,1,1]];[a,4];[2*c+b+2,1];T[1]^(a-4*c)*T[5]^4+T[2]^(a-4*c)*T[6]^4+T[3]*T[7]^3;c >= 1, b > 2*c-1, 4*c < a <= 1+b+2*c, a odd
S61;5;[2,1,1,2,1];[[1,1,a,b,c,c,0],[0,0,1,1,1,1,1]];[b,4];[2*c+a+2,1];T[1]^(b-4*c)*T[5]^4+T[2]^(b-4*c)*T[6]^4+T[4]*T[7]^3;c >= 1, b > 4*c, a > b, b odd
S62;5;[2,1,1,1,2];[[1,1,a,b,c,0,0],[0,0,1,1,1,1,1]];[a,4];[c+b+2,1];T[1]^(a-4*c)*T[5]^4+T[3]*T[6]^3+T[2]^(a-b)*T[4]*T[7]^3;c >= 1, b > 3*c-1, 4*c < a <= 1 + b + c
S63;5;[2,1,1,1,2];[[1,1,a,b,c,0,0],[0,0,1,1,1,1,1]];[a,4];[c+b+2,1];T[1]^(a-4*c)*T[5]^4+T[2]^a*T[6]^4+T[3]*T[7]^3;c >= 1, b > 3*c-1, 4*c < a <= 1 + b + c, a odd
S64;5;[2,1,1,1,2];[[1,1,a,b,c,0,0],[0,0,1,1,1,1,1]];[b,4];[a+c+2,1];T[1]^(b-4*c)*T[5]^4+T[2]^b*T[6]^4+T[4]*T[7]^3;c >= 1, b > 4*c, b < a <= 1 + b + c, b odd
S65;5;[2,1,1,1,2];[[1,1,4*b,a,b,0,0],[0,0,1,1,1,1,1]];[4*b,4];[a+b+2,1];T[5]^4+T[3]*T[6]^3+T[1]^(4*b-a-l)*T[2]^l*T[4]*T[7]^3;b >= 1, 3*b-1 <= a < 4*b, 0 <= l <= (4*b-a)/2
S66;5;[2,1,1,1,2];[[1,1,4*b,a,b,0,0],[0,0,1,1,1,1,1]];[4*b,4];[a+b+2,1];T[5]^4+T[1]^(4*b-l)*T[2]^l*T[6]^4+T[3]*T[7]^3;b >= 1, 3*b-1 <= a < 4*b, 0 < l < 2*b, l odd
S67;5;[2,1,1,1,2];[[1,1,a,b,c,0,0],[0,0,1,1,1,1,1]];[4*c,4];[-3*c+a+b+2,1];T[5]^4+T[1]^(4*c-a)*T[3]*T[6]^3+T[2]^(4*c-b)*T[4]*T[7]^3;c >= 1, a > b > 4*c
S68;5;[2,1,1,1,2];[[1,1,a,4*b,b,0,0],[0,0,1,1,1,1,1]];[4*b,4];[a+b+2,1];T[5]^4+T[1]^(4*b-l)*T[2]^l*T[6]^4+T[4]*T[7]^3;b >= 1, 4*b < a <= 5*b+1, 0 < l < 2*b, l odd
S69;5;[2,1,1,1,2];[[1,1,2*a,a-1,a,0,0],[0,0,1,1,3,1,1]];[2*a,6];[2*a+1,1];T[1]*T[2]*T[4]^2*T[7]^4+T[3]*T[6]^5+T[5]^2;a >= 2
S70;5;[2,1,1,1,2];[[1,1,2*b,a,b,0,0],[0,0,1,1,3,1,1]];[2*a,6];[-a+3*b+2,1];T[5]^2+T[3]*T[6]^5+T[1]^(2*b-a-l)*T[2]^l*T[4]*T[7]^5;a,b >= 1, b-1 <= a < 2b
S71;5;[2,1,1,1,2];[[1,1,a,b,c,0,0],[0,0,1,1,3,1,1]];[2*c,6];[-c+a+b+2,1];T[5]^2+T[1]^(2*c-a)*T[3]*T[6]^5+T[2]^(2*c-b)*T[4]*T[7]^5;c >= 1, c-1 <= b < 2*c, b < a < 2*c
